Volatility 3 Framework 2.28.0

NetNS	Process Name	PID	TID	FD	Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter
4026531840	systemd	1	1	104	0x9d90304d6a40	AF_UNIX	STREAM	-	/run/snapd.socket	20651	-	-	LISTEN	-
4026531840	systemd	1	1	105	0x9d90304d0880	AF_UNIX	STREAM	-	/run/snapd-snap.socket	20653	-	-	LISTEN	-
4026531840	systemd	1	1	106	0x9d902f176000	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x800405d5	1	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	107	0x9d902ed44840	AF_UNIX	STREAM	-		20275	-	-	LISTEN	-
4026531840	systemd	1	1	110	0x9d902fdba000	AF_NETLINK	RAW	NETLINK_AUDIT	groups:0x00000001	1	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	112	0x9d90304d3300	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	14138	-	-	UNCONNECTED	-
4026531840	systemd	1	1	116	0x9d9030674840	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	22708	-	19227	ESTABLISHED	-
4026531840	systemd	1	1	117	0x9d9030671dc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20719	-	19189	ESTABLISHED	-
4026531840	systemd	1	1	118	0x9d9030643fc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20699	-	15234	ESTABLISHED	-
4026531840	systemd	1	1	119	0x9d90304d6e80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20687	-	20686	ESTABLISHED	-
4026531840	systemd	1	1	120	0x9d9030642200	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15221	-	15216	ESTABLISHED	-
4026531840	systemd	1	1	121	0x9d902ed44c80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15194	-	22626	ESTABLISHED	-
4026531840	systemd	1	1	122	0x9d9030675940	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15193	-	19172	ESTABLISHED	-
4026531840	systemd	1	1	123	0x9d9030642a80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15155	-	15151	ESTABLISHED	-
4026531840	systemd	1	1	124	0x9d9030672200	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15150	-	19161	ESTABLISHED	-
4026531840	systemd	1	1	125	0x9d902ed41980	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15097	-	22552	ESTABLISHED	-
4026531840	systemd	1	1	126	0x9d9030642ec0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15047	-	15042	ESTABLISHED	-
4026531840	systemd	1	1	127	0x9d9030671100	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20463	-	19001	ESTABLISHED	-
4026531840	systemd	1	1	128	0x9d9030641100	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20425	-	14707	ESTABLISHED	-
4026531840	systemd	1	1	129	0x9d902ed40000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20415	-	20343	ESTABLISHED	-
4026531840	systemd	1	1	136	0x9d902ed43740	AF_UNIX	STREAM	-	/run/lvm/lvmpolld.socket	20273	-	-	LISTEN	-
4026531840	systemd	1	1	137	0x9d902ed42ec0	AF_UNIX	DGRAM	-	/run/systemd/journal/syslog	20276	-	-	UNCONNECTED	-
4026531840	systemd	1	1	138	0x9d90304d2ec0	AF_UNIX	STREAM	-	/run/uuidd/request	20655	-	-	LISTEN	-
4026531840	systemd-journal	408	408	3	0x9d90304d61c0	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	14140	-	-	UNCONNECTED	-
4026531840	systemd-journal	408	408	4	0x9d90304d5500	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	14142	-	-	LISTEN	-
4026531840	systemd-journal	408	408	5	0x9d90304d3300	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	14138	-	-	UNCONNECTED	-
4026531840	systemd-journal	408	408	6	0x9d902fdba000	AF_NETLINK	RAW	NETLINK_AUDIT	groups:0x00000001	1	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd-journal	408	408	10	0x9d9030645940	AF_UNIX	STREAM	-	/run/systemd/journal/io.systemd.journal	14599	-	-	LISTEN	-
4026531840	systemd-journal	408	408	15	0x9d9030640cc0	AF_UNIX	DGRAM	-	-	14601	/run/systemd/notify	20259	UNCONNECTED	-
